,"country","description","designation","points","price","province","region_1","region_2","taster_name","taster_twitter_handle","title","variety","winery"
0,"Italy","Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.","Vulkà Bianco",87,,"Sicily & Sardinia","Etna",,"Kerin O’Keefe","@kerinokeefe","Nicosia 2013 Vulkà Bianco  (Etna)","White Blend","Nicosia"
1,"Portugal","This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.","Avidagos",87,15,"Douro",,,"Roger Voss","@vossroger","Quinta dos Avidagos 2011 Avidagos Red (Douro)","Portuguese Red","Quinta dos Avidagos"
2,"US","Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.",,87,14,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Rainstorm 2013 Pinot Gris (Willamette Valley)","Pinot Gris","Rainstorm"
3,"US","Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.","Reserve Late Harvest",87,13,"Michigan","Lake Michigan Shore",,"Alexander Peartree",,"St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore)","Riesling","St. Julian"
4,"US","Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.","Vintner's Reserve Wild Child Block",87,65,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)","Pinot Noir","Sweet Cheeks"
5,"Spain","Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.","Ars In Vitro",87,15,"Northern Spain","Navarra",,"Michael Schachner","@wineschach","Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra)","Tempranillo-Merlot","Tandem"
6,"Italy","Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.","Belsito",87,16,"Sicily & Sardinia","Vittoria",,"Kerin O’Keefe","@kerinokeefe","Terre di Giurfo 2013 Belsito Frappato (Vittoria)","Frappato","Terre di Giurfo"
7,"France","This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",,87,24,"Alsace","Alsace",,"Roger Voss","@vossroger","Trimbach 2012 Gewurztraminer (Alsace)","Gewürztraminer","Trimbach"
8,"Germany","Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.","Shine",87,12,"Rheinhessen",,,"Anna Lee C. Iijima",,"Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen)","Gewürztraminer","Heinz Eifel"
9,"France","This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.","Les Natures",87,27,"Alsace","Alsace",,"Roger Voss","@vossroger","Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace)","Pinot Gris","Jean-Baptiste Adam"
10,"US","Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.","Mountain Cuvée",87,19,"California","Napa Valley","Napa","Virginie Boone","@vboone","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Kirkland Signature"
11,"France","This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.",,87,30,"Alsace","Alsace",,"Roger Voss","@vossroger","Leon Beyer 2012 Gewurztraminer (Alsace)","Gewürztraminer","Leon Beyer"
12,"US","Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.",,87,34,"California","Alexander Valley","Sonoma","Virginie Boone","@vboone","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)","Cabernet Sauvignon","Louis M. Martini"
13,"Italy","This is dominated by oak and oak-driven aromas that include roasted coffee bean, espresso, coconut and vanilla that carry over to the palate, together with plum and chocolate. Astringent, drying tannins give it a rather abrupt finish.","Rosso",95,,"Sicily & Sardinia","Etna",,"Kerin O’Keefe","@kerinokeefe","Masseria Setteporte 2012 Rosso  (Etna)","Nerello Mascalese","Masseria Setteporte"
14,"US","Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.",,87,12,"California","Central Coast","Central Coast","Matt Kettmann","@mattkettmann","Mirassou 2012 Chardonnay (Central Coast)","Chardonnay","Mirassou"
15,"Germany","Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.","Devon",87,24,"Mosel",,,"Anna Lee C. Iijima",,"Richard Böcking 2013 Devon Riesling (Mosel)","Riesling","Richard Böcking"
16,"Argentina","Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.","Felix",87,30,"Other","Cafayate",,"Michael Schachner","@wineschach","Felix Lavaque 2010 Felix Malbec (Cafayate)","Malbec","Felix Lavaque"
17,"Argentina","Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.","Winemaker Selection",87,13,"Mendoza Province","Mendoza",,"Michael Schachner","@wineschach","Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza)","Malbec","Gaucho Andino"
18,"Spain","Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.","Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza",87,28,"Northern Spain","Ribera del Duero",,"Michael Schachner","@wineschach","Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero)","Tempranillo Blend","Pradorey"
19,"US","Red fruit aromas pervade on the nose, with cigar box and menthol notes riding in the back. The palate is slightly restrained on entry, but opens up to riper notes of cherry and plum specked with crushed pepper. This blend of Merlot, Cabernet Sauvignon and Cabernet Franc is approachable now and ready to be enjoyed.",,87,32,"Virginia","Virginia",,"Alexander Peartree",,"Quiévremont 2012 Meritage (Virginia)","Meritage","Quiévremont"
20,"US","Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity.","Vin de Maison",87,23,"Virginia","Virginia",,"Alexander Peartree",,"Quiévremont 2012 Vin de Maison Red (Virginia)","Red Blend","Quiévremont"
21,"US","A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.",,87,20,"Oregon","Oregon","Oregon Other","Paul Gregutt","@paulgwine ","Acrobat 2013 Pinot Noir (Oregon)","Pinot Noir","Acrobat"
22,"Italy","Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.","Ficiligno",98,19,"Sicily & Sardinia","Sicilia",,"Kerin O’Keefe","@kerinokeefe","Baglio di Pianetto 2007 Ficiligno White (Sicilia)","White Blend","Baglio di Pianetto"
23,"US","This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.","Signature Selection",87,22,"California","Paso Robles","Central Coast","Matt Kettmann","@mattkettmann","Bianchi 2011 Signature Selection Merlot (Paso Robles)","Merlot","Bianchi"
24,"Italy","Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework.","Aynat",87,35,"Sicily & Sardinia","Sicilia",,"Kerin O’Keefe","@kerinokeefe","Canicattì 2009 Aynat Nero d'Avola (Sicilia)","Nero d'Avola","Canicattì"
25,"US","Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.","King Ridge Vineyard",87,69,"California","Sonoma Coast","Sonoma","Virginie Boone","@vboone","Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","Castello di Amorosa"
26,"Italy","Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.","Dalila",87,13,"Sicily & Sardinia","Terre Siciliane",,"Kerin O’Keefe","@kerinokeefe","Stemmari 2013 Dalila White (Terre Siciliane)","White Blend","Stemmari"
27,"Italy","Aromas recall ripe dark berry, toast and a whiff of cake spice. The soft, informal palate offers sour cherry, vanilla and a hint of espresso alongside round tannins. Drink soon.",,87,10,"Sicily & Sardinia","Terre Siciliane",,"Kerin O’Keefe","@kerinokeefe","Stemmari 2013 Nero d'Avola (Terre Siciliane)","Nero d'Avola","Stemmari"
28,"Italy","Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.","Mascaria Barricato",87,17,"Sicily & Sardinia","Cerasuolo di Vittoria",,"Kerin O’Keefe","@kerinokeefe","Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)","Red Blend","Terre di Giurfo"
29,"US","Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.",,86,16,"California","Clarksburg","Central Valley","Virginie Boone","@vboone","Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg)","Chenin Blanc","Clarksburg Wine Company"
30,"France","Red cherry fruit comes laced with light tannins, giving this bright wine an open, juicy character.","Nouveau",86,,"Beaujolais","Beaujolais-Villages",,"Roger Voss","@vossroger","Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages)","Gamay","Domaine de la Madone"
31,"Italy","Merlot and Nero d'Avola form the base for this easy red wine that would pair with fettuccine and meat sauce or pork roast. The quality of the fruit is clean, bright and sharp.","Calanìca Nero d'Avola-Merlot",86,,"Sicily & Sardinia","Sicilia",,,,"Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia)","Red Blend","Duca di Salaparuta"
32,"Italy","Part of the extended Calanìca series, this Grillo-Viognier blend shows aromas of honeysuckle and jasmine, backed by touches of cut grass and wild sage. In the mouth, it shows ripe yellow-fruit flavors.","Calanìca Grillo-Viognier",86,,"Sicily & Sardinia","Sicilia",,,,"Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia)","White Blend","Duca di Salaparuta"
33,"US","Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.","Puma Springs Vineyard",86,50,"California","Dry Creek Valley","Sonoma",,,"Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)","Red Blend","Envolve"
34,"US","This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.",,86,20,"California","Sonoma Valley","Sonoma",,,"Envolve 2011 Sauvignon Blanc (Sonoma Valley)","Sauvignon Blanc","Envolve"
35,"US","As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.","Hyland",86,50,"Oregon","McMinnville","Willamette Valley","Paul Gregutt","@paulgwine ","Erath 2010 Hyland Pinot Noir (McMinnville)","Pinot Noir","Erath"
36,"Chile","White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.","Estate",86,15,"Colchagua Valley",,,"Michael Schachner","@wineschach","Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley)","Viognier-Chardonnay","Estampa"
37,"Italy","This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.","Missoni",86,21,"Sicily & Sardinia","Sicilia",,,,"Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)","Cabernet Sauvignon","Feudi del Pisciotto"
38,"Italy","Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth.","I Tratturi",86,11,"Southern Italy","Puglia",,,,"Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia)","Primitivo","Feudi di San Marzano"
39,"Italy","Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish.","Purato Made With Organic Grapes",86,12,"Sicily & Sardinia","Sicilia",,,,"Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia)","Nero d'Avola","Feudo di Santa Tresa"
40,"Italy","Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches.",,86,17,"Sicily & Sardinia","Sicilia",,,,"Feudo Montoni 2011 Catarratto (Sicilia)","Catarratto","Feudo Montoni"
41,"US","A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.",,86,22,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Hawkins Cellars 2009 Pinot Noir (Willamette Valley)","Pinot Noir","Hawkins Cellars"
42,"France","This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.","Nouveau",86,9,"Beaujolais","Beaujolais",,"Roger Voss","@vossroger","Henry Fessy 2012 Nouveau  (Beaujolais)","Gamay","Henry Fessy"
43,"US","The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.",,86,14,"California","Paso Robles","Central Coast",,,"Robert Hall 2011 Sauvignon Blanc (Paso Robles)","Sauvignon Blanc","Robert Hall"
44,"Chile","A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.",,86,9,"Maule Valley",,,"Michael Schachner","@wineschach","Sundance 2011 Merlot (Maule Valley)","Merlot","Sundance"
45,"US","Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.","#SocialSecret",86,40,"Virginia","Virginia",,,,"Tarara 2010 #SocialSecret Red (Virginia)","Red Blend","Tarara"
46,"Italy","Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.","Sallier de la Tour",86,13,"Sicily & Sardinia","Sicilia",,,,"Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia)","Inzolia","Tasca d'Almerita"
47,"US","This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity.",,86,13,"California","Lake County",,,,"The White Knight 2011 Riesling (Lake County)","Riesling","The White Knight"
48,"US","This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.",,86,16,"Virginia","Monticello",,,,"Trump 2011 Sauvignon Blanc (Monticello)","Sauvignon Blanc","Trump"
49,"France","Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.","Eté Indien",86,14,"Beaujolais","Brouilly",,"Roger Voss","@vossroger","Vignerons de Bel Air 2011 Eté Indien  (Brouilly)","Gamay","Vignerons de Bel Air"
50,"Italy","This blend of Nero d'Avola and Syrah opens with savory aromas of cured meat, dried berry, cassis, tobacco and wet earth. There's a touch of almond bitterness on the finish.","Scialo",86,,"Sicily & Sardinia","Sicilia",,,,"Viticultori Associati Canicatti 2008 Scialo Red (Sicilia)","Red Blend","Viticultori Associati Canicatti"
51,"Chile","This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel.","Gran Reserva",85,22,"Colchagua Valley",,,"Michael Schachner","@wineschach","Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley)","Petit Verdot","Casa Silva"
52,"Italy","The Monica grape often shows a rustic or raw quality, with aromas of cherry cola, black pepper and sour fruit. This expression does just that, with an added touch of bright acidity on the finish.","Dolia",85,14,"Sicily & Sardinia","Monica di Sardegna",,,,"Cantine di Dolianova 2010 Dolia  (Monica di Sardegna)","Monica","Cantine di Dolianova"
53,"France","Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.","La Fleur d'Amélie",85,15,"Bordeaux","Bordeaux Blanc",,"Roger Voss","@vossroger","Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc)","Bordeaux-style White Blend","Château de Sours"
54,"Italy","A blend of Nero d'Avola and Nerello Mascalese, this delivers forest berry and cola, with blue flower and dusty mineral accents. The palate is easy, bright and lean.","Rosso",85,,"Sicily & Sardinia","Sicilia",,,,"Corvo 2010 Rosso Red (Sicilia)","Red Blend","Corvo"
55,"US","This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes.","Estate Bottled",85,30,"California","Napa Valley","Napa",,,"RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)","Chardonnay","RustRidge"
56,"US","This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.",,85,14,"California","North Coast","North Coast","Virginie Boone","@vboone","Souverain 2010 Chardonnay (North Coast)","Chardonnay","Souverain"
57,"Italy","There's a touch of toasted almond at the start, but then this Grillo revs up in the glass to deliver notes of citrus, stone fruit, crushed stone and lemon tart. The mouthfeel is crisp and simple.","Sallier de la Tour",85,13,"Sicily & Sardinia","Sicilia",,,,"Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia)","Grillo","Tasca d'Almerita"
58,"Chile","Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.","Reserve",85,13,"Maipo Valley",,,"Michael Schachner","@wineschach","Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)","Pinot Noir","Tres Palacios"
